Record ID (System);Nav Customer No;Company name;Legal Name 1;Customer Status;Priority Customer;Solution hosted Air Support;Country;Country.Region;Country.Sub Region;VAT-Free;Invoice Type;Operator;Region + Tier;Invoicing every;Tails – PPS;Tails – OC-FW, Terr;Tails – OC-FW, SAT;Tails - OC-NOTAM;Tails - Last changed;Tails - Last changed by;OC Only;Blocked;Termination received;Termination as per;Churn Reported Date;Churn SaaS-method;Churn value;Avoidable/Un-avoidable;Churn reason;Closed, last invoice date;Value DKK last Invoice;Customer Since;Integrator;Current FPL System;FPL Binding date;NDA;NDA changed;NDA Responsible;Rolling Contract;Cancel Terms;Price Group;Price escalation %;Created (System);Supplier;Sales Responsible;EU Air Safety List;Binding Date FW;Blocked Date;Blocked by;Blocked Reason;Blocker
1005;COM11892;2 Excel Aviation Limited;2 Excel Aviation Limited;PotCust;;;United Kingdom of Great Britain and Northern Ireland - GB - Europe;Europe;Europe Northern;;Standard;GA-BA;;1 month;0,00;0,00;0,00;0;;;;All;;;2023-04-30;;63.478,00;Avoidable;Moving to Jeppesen product;;  ;2011-04-01;;Jepp Jetplanner;;;;;;;;0,00;2020-10-03 10:02;;Sean McLean;;;2023-04-03;Customer;Moved to another supplier;TRL
1006;COM13257;3Plex Aero Ltd;3Plex Aero Ltd;PotCust;;;Malta - MT - Europe;Europe;Europe Southern;;;GA-BA;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;;;;;;;;;0,00;2020-10-03 10:02;;;;;;;;
1007;COM13554;48th Contracting Squadron;48th Contracting Squadron;PotCust;;;United Kingdom of Great Britain and Northern Ireland - GB - Europe;Europe;Europe Northern;;;MIL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;Jeppesen Milplanner;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1010;COM11423;ABC Bedarfsflug GmbH;ABC Bedarfsflug GmbH;Customer;3;;Austria - AT - Europe;Europe;Europe Western;;Standard;GA-BA;EUR4;1 month;4,00;4,00;0,00;0;2026-03-03;Lene Villumsen;;;;;;;0,00;;;;  ;2007-08-01;;PPS;;;;;1M;20D;2012-2016;8,00;2020-10-03 10:02;;Sean McLean;;;;;;
1011;COM11003;ABELAG AVIATION S.A. (Part of Luxaviation Group);ABELAG AVIATION S.A.;Customer;3;;Belgium - BE - Europe;Europe;Europe Western;;Standard;GA-BA;EUR5;1 month;1,00;0,00;0,00;0;2025-10-09;Lene Villumsen;;;;;;;0,00;;;;  ;1997-07-01;;PPS;;;;;;;;0,00;2020-10-03 10:02;;Sean McLean;;;;;;
1014;COM13165;Abu Dhabi Aviation;Abu Dhabi Aviation;Customer;;;United Arab Emirates - AE - Asia;Asia;Middle East;;Standard;AIRL;APAC4;1 month;9,00;2,00;2,00;0;2026-06-30;Lene Villumsen;;;;;;;0,00;;;;  ;2018-03-01;;Test;;;;;1M;20D;2017;8,00;2020-10-03 10:02;;Oliver Williams;;;2024-02-06;;;cm
1015;COM11005;ACM AIR CHARTER LUFTFAHRT;ACM AIR CHARTER LUFTFAHRT;Customer;2;;Germany - DE - Europe;Europe;Europe Western;;Standard;GA-BA;EUR4;1 month;5,00;0,00;0,00;0;2026-08-17;Lene Villumsen;;;;;;;0,00;;;;  ;1998-02-01;;PPS;;;;;1M;20D;2012-2016;8,00;2020-10-03 10:02;●;Sean McLean;;;;;;
1017;COM11007;AEGEAN AIRLINES S.A.;AEGEAN AIRLINES S.A.;Customer;1;;Greece - GR - Europe;Europe;Europe Southern;;Standard;AIRL;EUR2;1 month;0,00;95,00;0,00;0;2026-08-04;Teresa Bass Mølholm;●;;;;;;0,00;;;;  ;2023-04-26;;Lufthansa Lido;;;;;12M;12M;;8,00;2020-10-03 10:02;;Lasse Nilsson;;2029-03-30;;;;
1018;COM12863;Aeolian Services;Aeolian Services;PotCust;;;Greece - GR - Europe;Europe;Europe Southern;;New FSP;FSP;EUR5;1 month;0,00;0,00;0,00;0;;;;All;2025-03-04;2025-03-11;2025-04-30;2025-03-31;152.032,00;Unavoidable;FPL Binding date 10/31/2025. account closed 3/11/2025 due to no business.;;  ;2013-07-01;;APG;2025-10-31;;;;Continues untill notice;6M;2022;8,00;2020-10-03 10:02;;Matias Magnasco;;;2025-04-04;Customer;FPL Binding date 10/31/2025. account closed 3/11/2025 due to no business.;TRL
1019;COM11507;AER ARANN Ltd. (STOBART);AER ARANN Ltd.;NonCust;;;Ireland - IE - Europe;Europe;Europe Northern;;Old;AIRL;;1 month;0,00;0,00;0,00;0;;;;All;;;;;0,00;;;;  ;2008-09-01;;;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;2021-09-28;Air Support;Customer bankrupt, account been active since bankruptcy to assist if need. No com and activities, account now closed;MB
1020;;Aer Lingus;Aer Lingus;PotCust;;;Ireland - IE - Europe;Europe;Europe Northern;;Standard;AIRL;EUR2;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;Lufthansa Lido;;;;;;;;0,00;2020-10-03 10:02;;Sean McLean;;;;;;
1021;COM13404;AEREO CALAFIA;AEREO CALAFIA;Quarantine;;;Mexico - MX - Americas;Americas;America, Latin and the Caribbean;;Old;AIRL;AME5;1 month;0,00;0,00;0,00;0;;;;All;2025-01-21;2025-01-21;2025-01-30;2025-01-21;39.417,00;Unavoidable;NO Comm, No payment;;  ;2019-03-29;;PPS;;;;;;;;0,00;2020-10-03 10:02;;Brett Richard Danks;;;2025-01-21;Air Support;No payment, no communication;TRL
1022;;Aero K Airlines Co. Ltd.;Aero K Airlines Co. Ltd.;PotCust;;;Korea, Republic of - KR - Asia;Asia;Asia Eastern;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;Navblue Navtech;;;;;;;;0,00;2020-10-03 10:02;;John Tan;;;;;;
1023;;PPS AeroData test account;PPS AeroData test account;NonCust;;;;;;;;;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;●;;;;;;;;;0,00;2020-10-03 10:02;;;;;;;;
1024;COM11008;Aero-Dienst GmbH;Aero-Dienst GmbH;PotCust;;;Germany - DE - Europe;Europe;Europe Western;;Old;GA-BA;EUR4;1 month;0,00;0,00;0,00;0;;;;All;2024-02-29;2024-05-31;2024-03-31;2024-05-31;82.583,00;Avoidable;Lost to FF.;;  ;1996-06-01;;PPS;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;2024-06-03;Customer;Lost to FF.;TRL
1025;;Aeromar Mexico;Aeromar Mexico;PotCust;;;Mexico - MX - Americas;Americas;America, Latin and the Caribbean;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;Jepp Jetplanner;;;;;;;;0,00;2020-10-03 10:02;;Brett Richard Danks;;;;;;
