NavCustomerNo;CompanyName;CustomerStatus;PriorityCustomer;PPS;OcFwTerr;OcFwSat;OcNotam;CustomerSince;PriceEscalation;Terminationdate;ChurnValue;Avoidable;ChurnReason;BlockedDate;BlockedReason
COM11892;2 Excel Aviation Limited;PotCust;0;0;0;0;0;04/01/2011 00:00:00;0.00;;0;Avoidable;Moving to Jeppesen product;04/03/2023 00:00:00;Moved to another supplier
COM13257;3Plex Aero Ltd;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13554;48th Contracting Squadron;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM11423;ABC Bedarfsflug GmbH;Customer;3;4;4;0;0;08/01/2007 00:00:00;8.00;;0;;;;
COM11003;ABELAG AVIATION S.A. (Part of Luxaviation Group);Customer;3;1;0;0;0;07/01/1997 00:00:00;0.00;;0;;;;
COM13165;Abu Dhabi Aviation;Customer;0;9;2;2;0;03/01/2018 00:00:00;8.00;;0;;;02/06/2024 00:00:00;
COM11005;ACM AIR CHARTER LUFTFAHRT;Customer;2;5;0;0;0;02/01/1998 00:00:00;8.00;;0;;;;
COM11007;AEGEAN AIRLINES S.A.;Customer;1;0;95;0;0;04/26/2023 00:00:00;8.00;;0;;;;
COM12863;Aeolian Services;PotCust;0;0;0;0;0;07/01/2013 00:00:00;8.00;03/11/2025 00:00:00;0;Unavoidable;FPL Binding date 10/31/2025. account closed 3/11/2025 due to no business.;04/04/2025 00:00:00;FPL Binding date 10/31/2025. account closed 3/11/2025 due to no business.
COM11507;AER ARANN Ltd. (STOBART);NonCust;0;0;0;0;0;09/01/2008 00:00:00;0.00;;0;;;09/28/2021 00:00:00;Customer bankrupt, account been active since bankruptcy to assist if need. No com and activities, account now closed
;Aer Lingus;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13404;AEREO CALAFIA;Quarantine;0;0;0;0;0;03/29/2019 00:00:00;0.00;01/21/2025 00:00:00;0;Unavoidable;NO Comm, No payment;01/21/2025 00:00:00;No payment, no communication
;Aero K Airlines Co. Ltd.;PotCust;0;0;0;0;0;;0.00;;0;;;;
;PPS AeroData test account;NonCust;0;0;0;0;0;;0.00;;0;;;;
COM11008;Aero-Dienst GmbH;PotCust;0;0;0;0;0;06/01/1996 00:00:00;0.00;05/31/2024 00:00:00;0;Avoidable;Lost to FF.;06/03/2024 00:00:00;Lost to FF.
;Aeromar Mexico;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13295;AERONEXUS CORPORATE;PotCust;0;0;0;0;0;;0.00;;0;;;;
;Air Europa Express;PotCust;0;0;0;0;0;;0.00;;0;;;;
;AEROPS GmbH;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13590;Aerospace Consortium Ltd.;PotCust;0;0;0;0;0;;0.00;;0;;;11/16/2020 00:00:00;No communication after signing, account now closed on request from RS
COM12343;Aerotaxi Prague (CB WX only);Customer;3;0;0;0;0;03/01/2012 00:00:00;0.00;;0;;;;
COM13075;AeroTEC LLC;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM12486;AEROVIAS DAP;Customer;0;11;0;0;0;05/01/2013 00:00:00;8.00;;0;;;;
COM13251;AeroVis Airlines Ltd;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM11012;AEROWEST GmbH.;Customer;2;13;14;0;0;08/01/1998 00:00:00;8.00;;0;;;;
COM13490;AFRICA WORLD AIRLINES;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13115;AFRICAN EXPRESS AIRWAYS;PotCust;0;0;0;0;0;11/01/2016 00:00:00;0.00;;0;;;;COVID-19 closure, no activity, no payment
;A-Group;Quarantine;0;0;0;0;0;;0.00;;0;;;;
COM13665;Wael Omar;NonCust;0;0;0;0;0;;0.00;;0;;;;
;AIGLE AZUR;NonCust;0;0;0;0;0;;0.00;;0;;;;
;Air Ailes;PotCust;0;0;0;0;0;;0.00;;0;;;;Account correctly closed
COM12740;Excellent Air GmbH, Air Allgaeu;Customer;2;12;0;0;0;02/01/2015 00:00:00;8.00;;0;;;;
COM11015;AIR ALSIE A/S;Customer;1;20;27;17;0;12/01/1989 00:00:00;8.00;;0;;;;
;AIR ANTWERP BV;NonCust;0;0;0;0;0;;0.00;;0;;;;
COM11254;AIR ARABIA;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM11413;Air Baltic;Customer;2;0;55;5;0;08/23/2023 00:00:00;8.00;;0;;;09/21/2022 00:00:00;
COM14293;Berkut Air;PotCust;0;0;0;0;0;;0.00;;0;;;;
;Air Bishkek;NonCust;0;0;0;0;0;;0.00;;0;;;;
;AIR BOHEMIA a.s;NonCust;0;0;0;0;0;;0.00;;0;;;;
COM13565;Air Botswana;PotCust;2;0;0;0;0;;8.00;;0;;;;
COM13519;AIR BOURGOGNE;NonCust;0;0;0;0;0;;0.00;;0;;;;
COM13759;AIR CAIRO;PotCust;0;0;0;0;0;;0.00;;0;;;;Account closed correctly
COM13441;AIR CALEDONIE;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13954;AIR CARGO GLOBAL;NonCust;0;0;0;0;0;;0.00;;0;;;;
;FREIGHT RUNNERS EXPRESS, INC. DBA AIR CHARTER EXPRESS;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM11502;Air Charter Scotland Ltd.;Customer;2;9;0;0;0;07/01/2008 00:00:00;8.00;07/31/2026 00:00:00;0;Avoidable;One stop shop.  Cheaper price with FF.   Unchurned 12.08.2026. PSO route with JS31 next 5 years. FF unable to FPL on this type;;
;Siam Land Flying Co., Ltd.;PotCust;0;3;0;0;0;;0.00;;0;;;;
COM12919;Universal Air (AIR CM GLOBAL LTD);Customer;2;4;3;3;0;03/01/2016 00:00:00;8.00;;0;;;02/06/2024 00:00:00;
;AIR CONGO;PotCust;2;0;0;0;0;;0.00;;0;;;;
;ASL Airlines Ireland;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM12920;AIRCORSICA;Customer;1;14;14;0;0;07/01/2016 00:00:00;8.00;;0;;;;
COM13722;Air Cote Divoire;PotCust;1;0;0;0;0;;0.00;;0;;;;
COM13625;AIR DJIBOUTI;Quarantine;2;1;0;0;0;10/01/2021 00:00:00;8.00;10/14/2025 00:00:00;0;Unavoidable;Missing payment has previously been churned, unchurned.;10/14/2025 00:00:00;No payment, no communication
COM14192;Air Dolomiti;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM11910;Air Europa;PotCust;0;0;0;0;0;;0.00;;0;;;;Account closed correctly
COM13974;AIR EXPLORE;Customer;1;0;5;4;0;02/01/2022 00:00:00;8.00;;0;;;;
COM11018;AIR GREENLAND;Customer;1;9;9;1;9;05/01/2001 00:00:00;5.00;;0;;;;
COM11427;VistaJet GmbH (Air Hamburg);Customer;2;34;37;0;0;11/01/2007 00:00:00;8.00;;0;;;;
COM13226;Air Hollandia B.V.;NonCust;0;0;0;0;0;;0.00;;0;;;;
COM13291;AIR HORIZONT;Customer;2;4;0;0;0;06/01/2018 00:00:00;8.00;;0;;;;
COM12568;AIR ICELAND CONNECT;Customer;2;6;6;6;0;12/01/2013 00:00:00;8.00;;0;;;;
COM13984;Air Independence GmbH;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM14076;MINGALAR (AIR KBZ);Customer;0;2;0;0;0;08/03/2022 00:00:00;8.00;;0;;;;
COM13142;Air Libya;Customer;2;5;6;5;0;02/01/2017 00:00:00;8.00;;0;;;;
;Air Macau;PotCust;1;0;0;0;0;;0.00;;0;;;;
COM14035;KM Malta Airlines (ex Air Malta);PotCust;0;0;0;0;0;;0.00;;0;;;03/10/2022 00:00:00;
COM13551;Air Manas;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13004;Air Mediterranean;Customer;3;1;0;0;0;01/01/2018 00:00:00;8.00;;0;;;;
COM13878;AIR MOLDOVA;PotCust;0;0;0;0;0;05/05/2021 00:00:00;0.00;;0;Unavoidable;Missing payment;05/16/2023 00:00:00;Missing payment and communication
COM13679;Air Mountain SA;PotCust;0;0;0;0;0;09/01/2020 00:00:00;0.00;;0;;;09/04/2023 00:00:00;Contract terminated by customer
;Air Namibia;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13589;Air North;PotCust;0;0;0;0;0;;0.00;;0;;;;
;AIR NOSTRUM;PotCust;0;0;0;0;0;;0.00;;0;;;;Account closed correctly
COM13525;Air Ocean Maroc;PotCust;0;0;0;0;0;09/17/2020 00:00:00;0.00;;0;Unavoidable;Missing payment;05/16/2023 00:00:00;Missing payment and communication
;Air Peace;Customer via;2;0;0;0;0;07/01/2026 00:00:00;0.00;;0;;;;
COM12598;Air Pink doo ( airpink.rs );NonCust;0;0;0;0;0;01/01/2014 00:00:00;0.00;03/05/2024 00:00:00;0;Unavoidable;Shutting down the company.;04/04/2024 00:00:00;Shutting down the company.
;Air Spray USA;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13614;AIR SUPPORT A/S;NonCust;0;0;0;0;0;;0.00;;0;;;;
COM14327;Air Tahiti S.A.;Customer;0;0;0;0;0;02/18/2026 00:00:00;0.00;;0;;;;
COM11467;Air Tanzania Company Ltd.;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM12839;Air-Taxi Europe Gmbh;Quarantine;3;4;0;0;0;05/01/2015 00:00:00;8.00;12/18/2025 00:00:00;0;Unavoidable;see history;12/16/2025 00:00:00;No communication, no payment
