CustomerNr;NavCustomerNo;CompanyName;CustomerStatus;PriorityCustomer;TailsOnPPS;TailsFlightWatchTerrestrial;TailsFlightWatchSatellite;TailsNotamMonitoring;CustomerSince;PriceEscalation;Terminationdate;ChurnValue;ChurnReportedDate;ChurnReason;BlockedDate;BlockedReason;Country;Balance;FleetSize;Last12Months;YearToDate;LastYearToDate;LastFinancialYear;NavCustomerName;NavCountry;NavBlocked;Turnover2017;Turnover2018;Turnover2019;Turnover2020;Turnover2021;Turnover2022;Turnover2023;Turnover2024;Turnover2025;Turnover2026;Dev1718;Dev1819;Dev1920;Dev2021;Dev2122;Dev2223;Dev2324;Dev2425;Dev2526
COM11003;COM11003;ABELAG AVIATION S.A. (Part of Luxaviation Group);Customer;3;1,00;0,00;0,00;0;1997-07-01;0,00;NULL;0,00;NULL;NULL;NULL;NULL;Belgium - BE - Europe;2,519.00;1;30,209.00;17,627.00;17,600.00;30,182.00;ABELAG AVIATION S.A.;BE;0;355399,27;278009,29;245339,65;220172,60;238370,71;247222,21;108985,02;37395,25;30182,50;20146,03;-22;-12;-10;8;4;-56;-66;-19;-33
COM11038;COM11038;Austrian Air Force;Customer;3;3,00;0,00;0,00;0;2001-12-01;8,00;NULL;0,00;NULL;NULL;NULL;NULL;Austria - AT - Europe;0.00;3;78,557.00;0.00;0.00;78,557.00;Bundesminister für Landesverteidigung;AT;0;78323,34;105202,94;81878,02;86364,51;86242,73;64162,12;67919,27;102961,19;110338,73;0,00;34;-22;5;0;-26;6;52;7;-100
COM11084;COM11084;EFS European Flight Service AB;Customer;2;7,00;0,00;0,00;0;2014-11-01;8,00;NULL;0,00;NULL;NULL;NULL;NULL;Sweden - SE - Europe;0.00;7;208,622.00;126,508.00;116,374.00;198,488.00;EFS European Flight Service AB;SE;0;107278,14;205386,23;178173,04;193169,41;209664,68;247732,57;256713,62;201988,95;198488,06;126507,53;91;-13;8;9;18;4;-21;-2;-36
COM11127;COM11127;JETFLITE OY;Customer;3;3,00;0,00;0,00;0;1997-01-01;8,00;NULL;0,00;NULL;NULL;NULL;NULL;Finland - FI - Europe;0.00;3;87,145.00;52,468.00;48,508.00;83,185.00;JETFLITE OY;FI;0;86025,15;91376,48;103367,70;131573,61;108837,14;107842,25;81578,88;77776,53;83185,46;52467,53;6;13;27;-17;-1;-24;-5;7;-37
COM11151;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NIGHTEXPRESS;DE;3;41727,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-100;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
COM11161;COM11161;QUICK AIR JET CHARTER GmbH;Customer;3;6,00;0,00;0,00;0;1995-07-01;8,00;NULL;0,00;NULL;NULL;NULL;NULL;Germany - DE - Europe;0.00;11;95,912.00;55,627.00;51,429.00;91,714.00;QUICK AIR JET CHARTER GmbH;DE;0;234838,90;190600,80;199898,30;89721,14;87692,75;103838,69;109861,56;162783,03;91714,09;56958,51;-19;5;-55;-2;18;6;48;-44;-38
COM11181;COM11181;SUN AIR OF SCANDINAVIA A/S (SUN-AIR Aviation Group);Customer;2;5,00;5,00;0,00;0;1990-12-01;8,00;NULL;0,00;NULL;NULL;NULL;NULL;Denmark - DK - Europe;0.00;7;171,160.00;106,644.00;97,085.00;161,601.00;SUN AIR OF SCANDINAVIA A/S;DK;0;225153,90;18578,64;310167,06;150159,62;93852,24;133223,22;158751,09;142477,61;161600,67;106644,32;-92;1569;-52;-37;42;19;-10;13;-34
COM11230;COM11230;(Duplicate) Falcon Jet Aviation;NonCust;NULL;0,00;0,00;0,00;0;NULL;0,00;NULL;0,00;NULL;NULL;NULL;NULL;United Arab Emirates - AE - Asia;0.00;0;0.00;0.00;0.00;0.00;Falcon Jet Aviation;AE;0;0,00;0,00;0,00;6331,97;0,00;0,00;0,00;0,00;0,00;0,00;NULL;NULL;NULL;-100;NULL;NULL;NULL;NULL;NULL
COM11345;COM11345;EASTERN AIRWAYS (UK) Ltd.;NonCust;2;10,00;0,00;0,00;0;2013-07-01;8,00;2025-10-31;429.318,00;2025-10-31;account reopened upon request from customer;NULL;Bankruptcy;United Kingdom of Great Britain and Northern Ireland - GB - Europe;0.00;17;94,383.00;0.00;261,192.00;355,575.00;EASTERN AIRWAYS (UK) Ltd.;GB;3;558004,26;594669,74;478822,73;345010,62;285950,46;252417,62;294480,18;402488,15;354157,05;0,00;7;-19;-28;-17;-12;17;37;-12;-100
COM11417;COM11417;ACT AIRLINES;PotCust;NULL;0,00;0,00;0,00;0;2022-06-20;0,00;2024-11-30;271.553,00;2024-11-30;CUS used PPS as a backup system. We did not manage to win them.;NULL;Reopened by OW;Turkey - TR - Asia;0.00;5;0.00;0.00;0.00;0.00;ACT AIRLINES;TR;0;0,00;0,00;0,00;0,00;0,00;10559,83;274158,22;250358,41;0,00;0,00;NULL;NULL;NULL;NULL;NULL;2496;-9;-100;NULL
