NavCustomerNo,CompanyName,Country,Last12Months,Balance,FleetSize,Year2022,Dev2223,Year2023,Dev2324,Year2024,Dev2425,Year2025,YearToDate,LastYearToDate,LastFinancialYear
COM11002,"ABS Jets, a. s.",CZ,561398,0,4,0,0,0,0,0,0,473788,357236,269625,473788
COM11003,ABELAG AVIATION S.A. (Part of Luxaviation Group),BE,30209,2519,1,0,0,0,0,0,0,30182,17627,17600,30182
COM11005,ACM AIR CHARTER LUFTFAHRT,DE,146205,0,6,0,0,0,0,0,0,148008,85260,87064,148008
COM11007,AEGEAN AIRLINES S.A.,GR,387025,36569,82,0,0,0,0,0,0,378222,229356,220553,378222
COM11008,Aero-Dienst GmbH,DE,0,0,5,0,0,0,0,0,0,0,0,0,0
COM11012,AEROWEST GmbH.,DE,333628,0,13,0,0,0,0,0,0,260983,312734,240088,260983
COM11015,AIR ALSIE A/S,DK,818737,0,32,0,0,0,0,0,0,784217,495384,460864,784217
COM11018,AIR GREENLAND,GL,586080,0,30,0,0,0,0,0,0,382510,339507,135938,382510
COM11021,AIR OPS International GmbH,DE,472144,0,0,0,0,0,0,0,0,460441,208867,197163,460441
COM11025,AIRLINK GmbH,AT,-96148,0,13,0,0,0,0,0,0,19730,51891,167768,19730
COM11034,Atlantic Airways,FO,259713,24709,4,0,0,0,0,0,0,198204,163310,101800,198204
COM11035,ATLAS AIR SERVICE AG,DE,0,0,7,0,0,0,0,0,0,51659,0,51659,51659
COM11036,ATSD Air Tasking Service,DE,292620,29443,7,0,0,0,0,0,0,258607,186933,152921,258607
COM11038,Austrian Air Force,AT,78557,0,3,0,0,0,0,0,0,78557,0,0,78557
COM11039,AVANTI AIR GmbH & Co. KG,DE,154474,0,2,0,0,0,0,0,0,146059,93016,84600,146059
COM11044,BenAir A/S,DK,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11055,BOSCH (SMS invoice),DE,0,0,1,335,0,0,0,0,0,0,0,0,0
COM11058,BUSINESSWINGS,DE,77208,6487,4,0,0,0,0,0,0,75054,45393,43239,75054
COM11059,Capital Air charter Ltd,GB,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11063,Challenge Aero Ukraine,UA,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11072,DAT (Danish Air Transport),DK,0,0,23,0,0,0,0,0,0,0,0,0,0
COM11077,DRF Stiftung Luftrettung,DE,104142,0,3,0,0,0,0,0,0,98747,62978,57582,98747
COM11079,Luxembourg Air Services (DUCAIR),LU,120196,0,7,0,0,0,0,0,0,102201,75953,57958,102201
COM11082,HUMMINGBIRD AVIATION SERVICES,SE,22136,0,4,0,0,0,0,0,0,60844,0,38708,60844
COM11083,EISELE Flugdienst GmbH,DE,174274,0,7,0,0,0,0,0,0,162610,106839,95176,162610
COM11084,EFS European Flight Service AB,SE,208622,0,7,0,0,0,0,0,0,198488,126508,116374,198488
COM11093,ExecuJet Europe AG (part of Luxaviation Group),CH,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11096,FAI rent-a-jet,DE,0,0,18,0,0,0,0,0,0,0,0,0,0
COM11100,GIESERS STAHLBAU GmbH,DE,0,0,1,0,0,0,0,0,0,0,0,0,0
COM11102,Flying Service (Flying Group),BE,345162,0,24,0,0,0,0,0,0,345162,0,0,345162
COM11103,FLYVEV�BNET ESK 721,DK,157048,-10836,8,0,0,0,0,0,0,193065,-8658,27359,193065
COM11121,International Jet Management,AT,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11124,JET AVIATION Business Jets,DE,0,0,1,0,0,0,0,0,0,0,0,0,0
COM11125,ImperialJet Europe GmbH,DE,0,0,2,0,0,0,0,0,0,6555,0,6555,6555
COM11127,JETFLITE OY,FI,87145,0,3,0,0,0,0,0,0,83185,52468,48508,83185
COM11128,JetNetherlands BV (ASL nv),NL,120808,12022,8,0,0,0,0,0,0,105845,76685,61721,105845
COM11129,JIVAIR AB,SE,31475,0,1,0,0,0,0,0,0,30166,15938,14630,30166
COM11138,LUXAVIATION UK (Part of Luxaviation Group. Former LEA London executive Aviation),GB,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11139,LUFTTRANSPORT F.W. A/S,NO,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11140,LUXAIR S.A.,LU,790709,0,21,0,0,0,0,0,0,720085,790709,720085,720085
COM11152,NORTH FLYING A/S,DK,142130,0,8,0,0,0,0,0,0,128019,89644,75532,128019
COM11155,ProAir Aviation GmbH,DE,639812,58566,32,0,0,0,0,0,0,561422,393663,315274,561422
COM11161,QUICK AIR JET CHARTER GmbH,DE,95912,0,11,0,0,0,0,0,0,91714,55627,51429,91714
COM11178,STAR-LINE,DK,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11181,SUN AIR OF SCANDINAVIA A/S (SUN-AIR Aviation Group),DK,171160,0,7,0,0,0,0,0,0,161601,106644,97085,161601
COM11189,F�RSVARSMAKTEN (SWEDISH AIR FORCE),SE,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11190,Swiss Air Force,CH,141839,0,5,0,0,0,0,0,0,141839,0,0,141839
COM11193,Jet Executive International,DE,49057,0,4,0,0,0,0,0,0,44109,30671,25723,44109
COM11196,TYROL AIR AMBULANCE GmbH,AT,112871,8831,5,0,0,0,0,0,0,120130,62792,70051,120130
COM11201,VLM AIRLINES (TEST KONTO),,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11204,German Airways (Former: WDL),DE,412492,38608,8,0,0,0,0,0,0,389126,249708,226342,389126
COM11206,WINDROSE AIR Jetcharter GmbH,DE,120387,0,8,0,0,0,0,0,0,136644,67075,83331,136644
COM11209,NORWEGIAN AIR SHUTTLE ASA,NO,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11219,BAE Systems Corporate Air Travel Ltd.,GB,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11220,Aurigny Air Services Ltd.,GG,220207,0,11,0,0,0,0,0,0,220207,0,0,220207
COM11223,BLUE AIR,RO,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11224,SIPJ SONNIG International Private Jet,AE,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11228,Falcon Wings,AE,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11230,(Duplicate) Falcon Jet Aviation,AE,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11231,WX Support ApS,DK,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11236,Bookajet Ltd. Operations Department,GB,0,0,0,0,0,0,0,0,0,0,0,0,0
