Company.Nav Customer No,Company,Company.Customer Status,Company.Company name,Company.Country.Region,Company.Country.Sub Region,Company.Country,"Company.Closed, last invoice date", 2 022,Dev22-23, 2 023,Dev23-24, 2 024,Dev24-25,"2,025.00",Year to date,Last 12 months,Last year to date,Last financial year,Company.Invoice Type,Company.Region + Tier,Company.Operator,Balance,Balance NOT Due,Due 1-30 days,Due 31-60 days,Due 61-90 days,Due > 90 days,Record ID (System),Company.Fleet Size,Company.Customer Since,Company.Currency
COM11002,"ABS Jets, a. s. - Czechia",Customer,"ABS Jets, a. s.",Europe,Europe Eastern,Czechia - CZ - Europe,, 316 203,18%, 373 581,15%, 429 979,10%,"473,788.00","357,236.00","561,398.00","269,625.00","473,788.00",New FSP,EUR5,FSP,0.00,0.00,0.00,0.00,0.00,0.00,1003,4,2004-05-01,EUR
COM11003,ABELAG AVIATION S.A. (Part of Luxaviation Group) - Belgium,Customer,ABELAG AVIATION S.A. (Part of Luxaviation Group),Europe,Europe Western,Belgium - BE - Europe,, 247 222,-56%, 108 985,-66%, 37 395,-19%,"30,182.00","17,627.00","30,209.00","17,600.00","30,182.00",Standard,EUR5,GA-BA,"2,519.00",0.00,"2,519.00",0.00,0.00,0.00,1004,1,1997-07-01,EUR
COM11005,ACM AIR CHARTER LUFTFAHRT - Germany,Customer,ACM AIR CHARTER LUFTFAHRT,Europe,Europe Western,Germany - DE - Europe,, 113 171,34%, 151 933,5%, 159 481,-7%,"148,008.00","85,260.00","146,205.00","87,064.00","148,008.00",Standard,EUR4,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1005,6,1998-02-01,EUR
COM11007,AEGEAN AIRLINES S.A. - Greece,Customer,AEGEAN AIRLINES S.A.,Europe,Europe Southern,Greece - GR - Europe,,  ,0%, 209 572,33%, 279 526,35%,"378,222.00","229,356.00","387,025.00","220,553.00","378,222.00",Standard,EUR2,AIRL,"36,569.00",0.00,"36,569.00",0.00,0.00,0.00,1006,82,2023-04-26,EUR
COM11008,Aero-Dienst GmbH - Germany,PotCust,Aero-Dienst GmbH,Europe,Europe Western,Germany - DE - Europe,, 78 114,6%, 82 583,-100%,  ,0%,0.00,0.00,0.00,0.00,0.00,Old,EUR4,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1007,5,1996-06-01,EUR
COM11012,AEROWEST GmbH. - Germany,Customer,AEROWEST GmbH.,Europe,Europe Western,Germany - DE - Europe,, 180 166,11%, 199 192,12%, 223 060,17%,"260,983.00","312,734.00","333,628.00","240,088.00","260,983.00",Old,EUR4,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1008,13,1998-08-01,EUR
COM11015,AIR ALSIE A/S - Denmark,Customer,AIR ALSIE A/S,Europe,Europe Northern,Denmark - DK - Europe,, 329 686,72%, 568 495,40%, 794 773,-1%,"784,217.00","495,384.00","818,737.00","460,864.00","784,217.00",Standard,EUR4,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1009,32,1989-12-01,EUR
COM11018,AIR GREENLAND - Greenland,Customer,AIR GREENLAND,Americas,"America, Northern",Greenland - GL - Americas,, 324 945,40%, 454 590,7%, 487 840,-22%,"382,510.00","339,507.00","586,080.00","135,938.00","382,510.00",Standard,EUR4,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1010,30,2001-05-01,EUR
COM11021,AIR OPS International GmbH - Germany,Customer,AIR OPS International GmbH,Europe,Europe Western,Germany - DE - Europe,, 481 748,-22%, 377 759,1%, 382 573,20%,"460,441.00","208,867.00","472,144.00","197,163.00","460,441.00",Old FSP,EUR5,FSP,0.00,0.00,0.00,0.00,0.00,0.00,1011,0,2007-01-01,EUR
COM11025,AIRLINK GmbH - Austria,Customer,AIRLINK GmbH,Europe,Europe Western,Austria - AT - Europe,, 129 612,15%, 149 340,7%, 160 448,-88%,"19,730.00","51,891.00","-96,148.00","167,768.00","19,730.00",Standard,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1012,13,1994-10-01,EUR
COM11034,Atlantic Airways - Faroe Islands,Customer,Atlantic Airways,Europe,Europe Northern,Faroe Islands - FO - Europe,, 123 432,18%, 145 108,12%, 162 963,22%,"198,204.00","163,310.00","259,713.00","101,800.00","198,204.00",Standard,EUR5,AIRL,"24,709.00",0.00,"24,709.00",0.00,0.00,0.00,1013,4,2002-11-01,EUR
COM11035,ATLAS AIR SERVICE AG - Germany,NonCust,ATLAS AIR SERVICE AG,Europe,Europe Western,Germany - DE - Europe,2025-06-30, 113 131,9%, 123 135,0%, 122 879,-58%,"51,659.00",0.00,0.00,"51,659.00","51,659.00",Standard,EUR4,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1014,7,1994-09-01,EUR
COM11036,ATSD Air Tasking Service - Germany,Customer,ATSD Air Tasking Service,Europe,Europe Western,Germany - DE - Europe,, 139 594,74%, 242 835,17%, 283 270,-9%,"258,607.00","186,933.00","292,620.00","152,921.00","258,607.00",New FSP,EUR5,FSP,"29,443.00",0.00,"29,443.00",0.00,0.00,0.00,1015,7,2003-07-01,EUR
COM11038,Austrian Air Force - Austria,Customer,Austrian Air Force,Europe,Europe Western,Austria - AT - Europe,, 64 162,6%, 67 919,52%, 102 961,-24%,"78,557.00",0.00,"78,557.00",0.00,"78,557.00",Old,EUR5,MIL,0.00,0.00,0.00,0.00,0.00,0.00,1016,3,2001-12-01,EUR
COM11039,AVANTI AIR GmbH & Co. KG - Germany,Customer,AVANTI AIR GmbH & Co. KG,Europe,Europe Western,Germany - DE - Europe,, 111 950,-65%, 39 457,164%, 104 075,40%,"146,059.00","93,016.00","154,474.00","84,600.00","146,059.00",Standard,EUR5,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1017,2,1996-07-01,EUR
COM11044,BenAir A/S - Denmark,NonCust,BenAir A/S,Europe,Europe Northern,Denmark - DK - Europe,, 14 759,-80%, 2 983,-100%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1018,0,1991-12-01,EUR
COM11055,BOSCH (SMS invoice) - Germany,NonCust,BOSCH (SMS invoice),Europe,Europe Western,Germany - DE - Europe,,  335,-100%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Old,,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1019,1,2012-06-01,EUR
COM11058,BUSINESSWINGS - Germany,Customer,BUSINESSWINGS,Europe,Europe Western,Germany - DE - Europe,, 69 888,7%, 74 984,-98%, 1 571,"4,677%","75,054.00","45,393.00","77,208.00","43,239.00","75,054.00",Standard,EUR5,GA-BA,"6,487.00",0.00,"6,487.00",0.00,0.00,0.00,1020,4,1995-02-01,EUR
COM11059,Capital Air charter Ltd - United Kingdom of Great Britain and Northern Ireland,NonCust,Capital Air charter Ltd,Europe,Europe Northern,United Kingdom of Great Britain and Northern Ireland - GB - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1021,0,,EUR
COM11063,Challenge Aero Ukraine - Ukraine,Customer,Challenge Aero Ukraine,Europe,Europe Eastern,Ukraine - UA - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Old,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1022,0,2004-08-01,EUR
COM11072,DAT (Danish Air Transport) - Denmark,NonCust,DAT (Danish Air Transport),Europe,Europe Northern,Denmark - DK - Europe,, 407 438,-100%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Old,EUR4,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1023,23,1991-12-01,EUR
COM11077,DRF Stiftung Luftrettung - Germany,Customer,DRF Stiftung Luftrettung,Europe,Europe Western,Germany - DE - Europe,, 72 869,4%, 75 445,22%, 92 182,7%,"98,747.00","62,978.00","104,142.00","57,582.00","98,747.00",Standard,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1024,3,1998-06-01,EUR
